municipality_name;species;value
Blouberg;cattle;4664
Molemole;cattle;13808
Polokwane (incl. Lepele-Nkumpi);cattle;32353
Ba-Phalaborwa;cattle;4613
Greater Letaba (incl. Giyani);cattle;4832
Greater Tzaneen;cattle;2857
Maruleng;cattle;463
Elias Motsoaledi;cattle;10629
Ephraim Mogale;cattle;991
Greater Tubatse/Fetakgomo;cattle;791
Makhado (incl. Collins Chabane and Thulamela);cattle;18179
Musina;cattle;528
Bela-Bela;cattle;9761
Lephalale;cattle;10329
Modimolle/Mookgophong;cattle;39938
Mogalakwena;cattle;6800
Thabazimbi;cattle;8815
Blouberg;sheep;655
Molemole;sheep;182
Polokwane (incl. Lepele-Nkumpi);sheep;902
Greater Tzaneen;sheep;422
Maruleng;sheep;3100
Elias Motsoaledi;sheep;1172
Ephraim Mogale;sheep;212
Makhado (incl. Collins Chabane and Thulamela);sheep;22
Musina;sheep;106
Bela-Bela;sheep;1486
Lephalale;sheep;514
Modimolle/Mookgophong;sheep;2045
Mogalakwena;sheep;1861
Thabazimbi;sheep;761
Molemole;goat;125
Polokwane (incl. Lepele-Nkumpi);goat;14
Greater Tzaneen;goat;144
Maruleng;goat;57
Elias Motsoaledi;goat;50
Ephraim Mogale;goat;206
Makhado (incl. Collins Chabane and Thulamela);goat;2315
Musina;goat;415
Bela-Bela;goat;282
Lephalale;goat;243
Modimolle/Mookgophong;goat;1295
Mogalakwena;goat;75
Thabazimbi;goat;229
Molemole;pig;15
Polokwane (incl. Lepele-Nkumpi);pig;24920
Musina;pig;352
Bela-Bela;pig;114243
Modimolle/Mookgophong;pig;53662
Mogalakwena;pig;4776
Thabazimbi;pig;28
