name;district;province;latitude;longitude
Blouberg;Capricorn;Limpopo;-23.2665;29.1169
Molemole;Capricorn;Limpopo;-23.36789;29.32768
Polokwane (incl. Lepele-Nkumpi);Capricorn;Limpopo;-23.912974;29.457689
Ba-Phalaborwa;Mopani;Limpopo;-23.9330;31.1170
Greater Letaba (incl. Giyani);Mopani;Limpopo;-23.69563;30.14385
Greater Tzaneen;Mopani;Limpopo;-23.8319;30.1611
Maruleng;Mopani;Limpopo;-24.3534;30.9517
Lephalale;Waterberg;Limpopo;-23.66607;27.74477
Modimolle/Mookgophong;Waterberg;Limpopo;-24.7000;28.4000
Mogalakwena;Waterberg;Limpopo;-24.18389;29.01278
Thabazimbi;Waterberg;Limpopo;-24.58877;27.41183
Bela-Bela;Waterberg;Limpopo;-24.88509;28.29131
Elias Motsoaledi;Sekhukhune;Limpopo;-25.16561;29.39567
Ephraim Mogale;Sekhukhune;Limpopo;-24.9674;29.2939
Greater Tubatse/Fetakgomo;Sekhukhune;Limpopo;-24.6765;30.3251
Makhado (incl. Collins Chabane and Thulamela);Vhembe;Limpopo;-23.0502;29.8834
Musina;Vhembe;Limpopo;-22.348805;30.040741
