municipality_id,name,district,province,latitude,longitude
1,Blouberg,Capricorn,Limpopo,,
2,Molemole,Capricorn,Limpopo,,
3,Polokwane (incl. Lepele-Nkumpi),Capricorn,Limpopo,,
4,Ba-Phalaborwa,Mopani,Limpopo,,
5,Greater Letaba (incl. Giyani),Mopani,Limpopo,,
6,Greater Tzaneen,Mopani,Limpopo,,
7,Maruleng,Mopani,Limpopo,,
8,Lephalale,Waterberg,Limpopo,,
9,Modimolle/Mookgophong,Waterberg,Limpopo,,
10,Mogalakwena,Waterberg,Limpopo,,
11,Thabazimbi,Waterberg,Limpopo,,
12,Bela-Bela,Waterberg,Limpopo,,
13,Elias Motsoaledi,Sekhukhune,Limpopo,,
14,Ephraim Mogale,Sekhukhune,Limpopo,,
15,Greater Tubatse/Fetakgomo,Sekhukhune,Limpopo,,
16,Makhado (incl. Collins Chabane and Thulamela),Vhembe,Limpopo,,
17,Musina,Vhembe,Limpopo,,
