name;facility_type;latitude;longitude;municipality_id;production_animal_relevant;mobile_service
ELLISRAS DIEREKLINIEK;Veterinary Clinic;-23.68035573855656;27.728212706458027;8;TRUE;TRUE
DR MF VISSER COMMUNITY ENGAGEMENT;Community Engagement Accreditation;;;;FALSE;FALSE
INANLE CVC;Veterinary Consultant;;;;FALSE;TRUE
BRINER VETERINARY SERVICES;Consulting Room;;;;FALSE;TRUE
HAENERTSBURG CONSULTING ROOM;Consulting Room;;;;FALSE;FALSE
LIMPOPO STUD GAME CONSULTANTS;Consulting Room;-24.699987424780968;28.39999915697296;9;TRUE;FALSE
LOWVELD WILDLIFE VET;Consulting Room;-24.35631644301016;30.948358659880107;7;TRUE;TRUE
VELD EN KRAAL HERD HEALTH PRACTICE;Consulting Room;-24.7028898;28.3884125;9;TRUE;TRUE
TWEERIVIER WILDLIFE SERVICES;Herd Health Practice — Production Animals;-23.66605445350917;27.744772862530468;8;TRUE;TRUE
DR MJ DU PLESSIS VETERINARY WILDLIFE SERVICES;Herd Health Practice — Wildlife;;;;FALSE;TRUE
PANGOLARIUM;Herd Health Practice — Wildlife;;;;FALSE;TRUE
VETMEDICA ANIMAL MEDICINE;Herd Health Practice — Wildlife;;;;FALSE;TRUE
WILD GAME VET SERVICES;Herd Health Practice — Wildlife;;;;FALSE;FALSE
SAVUTI VETERINARY SERVICES;Veterinary Hospital;-22.353172123362263;30.04167145242815;17;TRUE;TRUE
KOEDOESRAND DIEREKLINIEK;Mixed Veterinary Practice;-22.596670124869323;29.09672281822964;10;TRUE;TRUE
OLIFANTS VETERINARY SERVICES;Mixed Veterinary Practice;-24.062607792302437;31.035927473732276;4;TRUE;TRUE
HOOF & HERD PRIMARY ANIMAL HEALTH FACILITY;Primary Animal Health Care Facility;-24.69995447757826;28.400002426356643;9;TRUE;TRUE
BOSPATRYS VETERINARY SERVICES;Small Animal Clinic;;;;FALSE;FALSE
KRANSKOP DIEREKLINIEK;Small Animal Clinic;-24.698762;28.4015577;9;TRUE;TRUE
LIMPOPO ANIMAL CLINIC;Small Animal Clinic;-22.35367620788509;30.042611165603493;17;TRUE;TRUE
MATOPPI DIEREKLINIEK;Small Animal Clinic;-23.6809248;27.7417442;8;TRUE;FALSE
NYLSTROOM DIEREKLINIEK;Small Animal Clinic;-24.6947428;28.4123164;9;TRUE;TRUE
ELEPHANTS ALIVE LABORATORY;Veterinary Laboratory;;;;FALSE;FALSE
